Id,Personality
0,Introvert
1,Introvert
2,Introvert
3,Introvert
4,Introvert
5,Introvert
6,Introvert
7,Introvert
8,Introvert
9,Introvert
10,Introvert
11,Extrovert
12,Introvert
13,Introvert
14,Extrovert
15,Introvert
16,Introvert
17,Introvert
18,Extrovert
19,Introvert
20,Introvert
21,Introvert
22,Introvert
23,Introvert
24,Extrovert
25,Introvert
26,Introvert
27,Introvert
28,Introvert
29,Introvert
30,Extrovert
31,Introvert
32,Introvert
33,Extrovert
34,Introvert
35,Introvert
36,Introvert
37,Introvert
38,Introvert
39,Introvert
40,Introvert
41,Extrovert
42,Introvert
43,Introvert
44,Introvert
45,Introvert
46,Introvert
47,Introvert
48,Introvert
49,Introvert
50,Introvert
51,Introvert
52,Extrovert
53,Introvert
54,Introvert
55,Introvert
56,Extrovert
57,Introvert
58,Introvert
59,Introvert
60,Introvert
61,Introvert
62,Introvert
63,Introvert
64,Introvert
65,Extrovert
66,Introvert
67,Introvert
68,Introvert
69,Introvert
70,Extrovert
71,Introvert
72,Introvert
73,Introvert
74,Introvert
75,Introvert
76,Introvert
77,Introvert
78,Introvert
79,Introvert
80,Introvert
81,Introvert
82,Introvert
83,Introvert
84,Introvert
85,Introvert
86,Introvert
87,Extrovert
88,Introvert
89,Extrovert
90,Introvert
91,Introvert
92,Extrovert
93,Introvert
94,Introvert
95,Introvert
96,Introvert
97,Introvert
98,Extrovert
99,Introvert
100,Introvert
101,Extrovert
102,Introvert
103,Introvert
104,Introvert
105,Introvert
106,Introvert
107,Introvert
108,Introvert
109,Introvert
110,Introvert
111,Extrovert
112,Introvert
113,Introvert
114,Introvert
115,Introvert
116,Introvert
117,Introvert
118,Introvert
119,Extrovert
120,Introvert
121,Introvert
122,Introvert
123,Extrovert
124,Extrovert
125,Introvert
126,Introvert
127,Introvert
128,Introvert
129,Introvert
130,Introvert
131,Introvert
132,Introvert
133,Introvert
134,Introvert
135,Introvert
136,Extrovert
137,Introvert
138,Introvert
139,Extrovert
140,Introvert
141,Extrovert
142,Introvert
143,Introvert
144,Introvert
145,Introvert
146,Introvert
147,Introvert
148,Extrovert
149,Introvert
150,Introvert
151,Introvert
152,Introvert
153,Introvert
154,Introvert
155,Introvert
156,Extrovert
157,Introvert
158,Introvert
159,Introvert
160,Introvert
161,Introvert
162,Introvert
163,Introvert
164,Extrovert
165,Introvert
166,Introvert
167,Extrovert
168,Introvert
169,Introvert
170,Introvert
171,Introvert
172,Extrovert
173,Introvert
174,Introvert
175,Introvert
176,Introvert
177,Introvert
178,Introvert
179,Introvert
180,Introvert
181,Introvert
182,Introvert
183,Introvert
184,Introvert
185,Introvert
186,Introvert
187,Introvert
188,Introvert
189,Introvert
190,Introvert
191,Introvert
192,Introvert
193,Introvert
194,Introvert
195,Extrovert
196,Introvert
197,Introvert
198,Introvert
199,Introvert
200,Introvert
201,Extrovert
202,Introvert
203,Introvert
204,Introvert
205,Introvert
206,Introvert
207,Extrovert
208,Introvert
209,Introvert
210,Introvert
211,Introvert
212,Introvert
213,Extrovert
214,Introvert
215,Extrovert
216,Introvert
217,Introvert
218,Introvert
219,Introvert
220,Introvert
221,Introvert
222,Introvert
223,Introvert
224,Introvert
225,Introvert
226,Introvert
227,Introvert
228,Extrovert
229,Introvert
230,Introvert
231,Introvert
232,Extrovert
233,Introvert
234,Introvert
235,Introvert
236,Extrovert
237,Extrovert
238,Introvert
239,Introvert
240,Introvert
241,Introvert
242,Introvert
243,Introvert
244,Introvert
245,Extrovert
246,Introvert
247,Introvert
248,Introvert
249,Extrovert
250,Introvert
251,Introvert
252,Introvert
253,Introvert
254,Introvert
255,Introvert
256,Introvert
257,Introvert
258,Extrovert
259,Introvert
260,Introvert
261,Introvert
262,Introvert
263,Extrovert
264,Introvert
265,Introvert
266,Extrovert
267,Extrovert
268,Extrovert
269,Introvert
270,Introvert
271,Introvert
272,Extrovert
273,Introvert
274,Introvert
275,Introvert
276,Introvert
277,Introvert
278,Extrovert
279,Introvert
280,Introvert
281,Introvert
282,Introvert
283,Introvert
284,Introvert
285,Extrovert
286,Introvert
287,Introvert
288,Extrovert
289,Introvert
290,Introvert
291,Introvert
292,Introvert
293,Extrovert
294,Introvert
295,Introvert
296,Introvert
297,Extrovert
298,Extrovert
299,Introvert
300,Introvert
301,Extrovert
302,Introvert
303,Introvert
304,Introvert
305,Introvert
306,Introvert
307,Introvert
308,Introvert
309,Introvert
310,Extrovert
311,Introvert
312,Introvert
313,Introvert
314,Introvert
315,Introvert
316,Introvert
317,Introvert
318,Introvert
319,Introvert
320,Introvert
321,Introvert
322,Introvert
323,Introvert
324,Introvert
325,Introvert
326,Introvert
327,Introvert
328,Introvert
329,Introvert
330,Introvert
331,Extrovert
332,Introvert
333,Introvert
334,Extrovert
335,Introvert
336,Introvert
337,Introvert
338,Introvert
339,Introvert
340,Introvert
341,Introvert
342,Introvert
343,Introvert
344,Introvert
345,Extrovert
346,Introvert
347,Extrovert
348,Introvert
349,Introvert
350,Introvert
351,Introvert
352,Extrovert
353,Introvert
354,Introvert
355,Introvert
356,Introvert
357,Introvert
358,Introvert
359,Introvert
360,Extrovert
361,Introvert
362,Introvert
363,Introvert
364,Introvert
365,Extrovert
366,Introvert
367,Extrovert
368,Introvert
369,Introvert
370,Introvert
371,Introvert
372,Extrovert
373,Introvert
374,Extrovert
375,Introvert
376,Introvert
377,Extrovert
378,Introvert
379,Extrovert
380,Extrovert
381,Introvert
382,Introvert
383,Introvert
384,Introvert
385,Extrovert
386,Introvert
387,Extrovert
388,Introvert
389,Introvert
390,Introvert
391,Introvert
392,Introvert
393,Introvert
394,Introvert
395,Extrovert
396,Extrovert
397,Extrovert
398,Introvert
399,Introvert
400,Introvert
401,Introvert
402,Introvert
403,Introvert
404,Introvert
405,Introvert
406,Introvert
407,Introvert
408,Introvert
409,Introvert
410,Introvert
411,Introvert
412,Introvert
413,Introvert
414,Introvert
415,Extrovert
416,Introvert
417,Introvert
418,Introvert
419,Extrovert
420,Introvert
421,Introvert
422,Introvert
423,Introvert
424,Introvert
425,Introvert
426,Introvert
427,Introvert
428,Extrovert
429,Introvert
430,Introvert
431,Introvert
432,Extrovert
433,Extrovert
434,Introvert
435,Extrovert
436,Introvert
437,Introvert
438,Introvert
439,Extrovert
440,Introvert
441,Introvert
442,Introvert
443,Extrovert
444,Introvert
445,Introvert
446,Introvert
447,Extrovert
448,Introvert
449,Introvert
450,Extrovert
451,Introvert
452,Introvert
453,Introvert
454,Extrovert
455,Extrovert
456,Extrovert
457,Introvert
458,Introvert
459,Introvert
460,Introvert
461,Introvert
462,Introvert
463,Introvert
464,Introvert
465,Introvert
466,Introvert
467,Introvert
468,Introvert
469,Introvert
470,Introvert
471,Extrovert
472,Introvert
473,Introvert
474,Introvert
475,Introvert
476,Introvert
477,Introvert
478,Introvert
479,Introvert
480,Introvert
481,Introvert
482,Introvert
483,Introvert
484,Introvert
485,Introvert
486,Introvert
487,Introvert
488,Introvert
489,Introvert
490,Introvert
491,Introvert
492,Introvert
493,Introvert
494,Introvert
495,Introvert
496,Introvert
497,Extrovert
498,Extrovert
499,Extrovert
500,Introvert
501,Extrovert
502,Introvert
503,Introvert
504,Introvert
505,Introvert
506,Introvert
507,Introvert
508,Introvert
509,Introvert
510,Introvert
511,Introvert
512,Introvert
513,Introvert
514,Introvert
515,Introvert
516,Introvert
517,Introvert
518,Introvert
519,Introvert
520,Introvert
521,Introvert
522,Extrovert
523,Introvert
524,Introvert
525,Introvert
526,Introvert
527,Introvert
528,Introvert
529,Introvert
530,Introvert
531,Introvert
532,Extrovert
533,Extrovert
534,Introvert
535,Introvert
536,Introvert
537,Introvert
538,Introvert
539,Introvert
540,Introvert
541,Extrovert
542,Introvert
543,Introvert
544,Introvert
545,Introvert
546,Introvert
547,Introvert
548,Introvert
549,Introvert
550,Introvert
551,Introvert
552,Introvert
553,Extrovert
554,Introvert
555,Introvert
556,Extrovert
557,Extrovert
558,Extrovert
559,Extrovert
560,Introvert
561,Extrovert
562,Extrovert
563,Introvert
564,Introvert
565,Introvert
566,Introvert
567,Introvert
568,Introvert
569,Introvert
570,Introvert
571,Introvert
572,Introvert
573,Introvert
574,Introvert
575,Introvert
576,Introvert
577,Introvert
578,Introvert
579,Introvert
580,Introvert
581,Introvert
582,Introvert
583,Introvert
584,Introvert
585,Introvert
586,Introvert
587,Introvert
588,Introvert
589,Introvert
590,Extrovert
591,Introvert
592,Introvert
593,Introvert
594,Introvert
595,Extrovert
596,Introvert
597,Introvert
598,Introvert
599,Introvert
600,Introvert
601,Extrovert
602,Introvert
603,Introvert
604,Introvert
605,Introvert
606,Introvert
607,Extrovert
608,Introvert
609,Introvert
610,Introvert
611,Introvert
612,Introvert
613,Introvert
614,Introvert
615,Introvert
616,Introvert
617,Introvert
618,Introvert
619,Introvert
620,Introvert
621,Introvert
622,Introvert
623,Extrovert
624,Introvert
625,Introvert
626,Extrovert
627,Introvert
628,Introvert
629,Introvert
630,Introvert
631,Introvert
632,Introvert
633,Introvert
634,Introvert
635,Introvert
636,Extrovert
637,Introvert
638,Introvert
639,Introvert
640,Introvert
641,Introvert
642,Introvert
643,Extrovert
644,Introvert
645,Introvert
646,Introvert
647,Extrovert
648,Introvert
649,Introvert
650,Introvert
651,Introvert
652,Introvert
653,Introvert
654,Introvert
655,Introvert
656,Extrovert
657,Introvert
658,Introvert
659,Extrovert
660,Introvert
661,Extrovert
662,Introvert
663,Introvert
664,Extrovert
665,Introvert
666,Introvert
667,Introvert
668,Extrovert
669,Introvert
670,Introvert
671,Introvert
672,Introvert
673,Introvert
674,Introvert
675,Introvert
676,Introvert
677,Introvert
678,Extrovert
679,Extrovert
680,Introvert
681,Extrovert
682,Extrovert
